이름,가능성,대분류,소분류
총 방문객 수,검증 필요,,
방문객 평균 체류시간,불가능,,
방문객 재방문률,불가능,,
신규 고객 및 기존 고객 비율,불가능,,
방문객 연령대 비율,검증 필요,,
방문객 성별 비율,검증 필요,,
평균 구매 금액 및 객단가,불가능,,
할인 프로모션 활용률,불가능,,
고객 리뷰,가능,,
SNS 반응,가능,,
긍정 및 부정 후기 비율,가능,,
브랜드 SNS 팔로워 증가량,불가능,,
브랜드 키워드 검색량,가능,,
팝업스토어 해시태그 사용량,가능,,
뉴스 기사의 브랜드 언급 횟수,가능,,
뉴스 기사의 팝업스토어 언급 횟수,가능,,
지하철역/버스정류장과의 거리,가능,,
"보행자 접근성(보도 폭, 경사)",불가능,,
대중교통 이용객 수,가능,공공데이터,
건물의 주차장 정보,가능,공공데이터,서울 열린데이터광장
빈 공간 비율,불가능,,
콘센트 수,불가능,,
연면적,가능,공공데이터,
엘리베이터 유무,가능,공공데이터,
지역 관련 SNS 긍정/부정 감정 비율,검증 필요,,
지역 관련 SNS 언급량,가능,,
상권 주요 업종,가능,공공데이터,
상권 폐업 매장 수(기간별),가능,공공데이터,
상권 신규 오픈 매장 수(기간별),가능,공공데이터,
상권 평균 공실률,가능,공공데이터,
상권 평균 임대료,가능,공공데이터,
" 경쟁 매장 평균 매출 규모",검증 필요,,
인근 경쟁 매장 수,검증 필요,,
상권 업종 밀집도,검증 필요,,
지역 이벤트 정보,가능,공공데이터,서울 열린데이터광장
유동인구,가능,공공데이터,서울 열린데이터광장
실시간 상권현황,가능,공공데이터,서울 열린데이터광장
연령대별 소비 비율,가능,공공데이터,